genero,arquivo,ano
filosofia,acad.txt,45
epistola,adbrutum1.txt,43
epistola,adbrutum2.txt,43
epistola,adbrutum.txt,43
filosofia,amic.txt,44
oratoria,arch.txt,62
epistola,att10.txt,50
epistola,att11.txt,48
epistola,att12.txt,47
epistola,att13.txt,46
epistola,att14.txt,45
epistola,att15.txt,44
epistola,att16.txt,43
epistola,att1.txt,68
epistola,att2.txt,66
epistola,att3.txt,64
epistola,att4.txt,62
epistola,att5.txt,60
epistola,att6.txt,58
epistola,att7.txt,56
epistola,att8.txt,54
epistola,att9.txt,52
oratoria,balbo.txt,56
filosofia,brut.txt,46
oratoria,caecilium.txt,70
oratoria,caecina.txt,69
oratoria,cael.txt,56
oratoria,cat1.txt,63
oratoria,cat2.txt,63
oratoria,cat3.txt,63
oratoria,cat4.txt,63
oratoria,cat.txt,63
oratoria,cluentio.txt,66
filosofia,compet.txt,65
filosofia,consulatu.txt,-1
oratoria,deio.txt,46
filosofia,divinatione1.txt,45
filosofia,divinatione2.txt,45
filosofia,divinatione.txt,45
oratoria,domo.txt,57
epistola,epis.txt,-1
epistola,fam10.txt,52
epistola,fam11.txt,50
epistola,fam12.txt,48
epistola,fam13.txt,46
epistola,fam14.txt,45
epistola,fam15.txt,44
epistola,fam16.txt,43
epistola,fam1.txt,62
epistola,fam2.txt,61
epistola,fam3.txt,60
epistola,fam4.txt,59
epistola,fam5.txt,58
epistola,fam6.txt,57
epistola,fam7.txt,56
epistola,fam8.txt,55
epistola,fam9.txt,54
epistola,fam.txt,53
filosofia,fato.txt,45
filosofia,fin1.txt,45
filosofia,fin2.txt,45
filosofia,fin3.txt,45
filosofia,fin4.txt,45
filosofia,fin5.txt,45
filosofia,fin.txt,45
oratoria,flacco.txt,59
oratoria,fonteio.txt,69
epistola,fratrem1.txt,60
epistola,fratrem2.txt,57
epistola,fratrem3.txt,54
epistola,fratrem.txt,54
oratoria,haruspicum.txt,57
oratoria,imp.txt,66
filosofia,inventione1.txt,84
filosofia,inventione2.txt,84
filosofia,inventione.txt,84
filosofia,leg1.txt,-1
filosofia,leg2.txt,-1
filosofia,leg3.txt,-1
oratoria,legagr1.txt,63
oratoria,legagr2.txt,63
oratoria,legagr3.txt,63
oratoria,legagr.txt,63
filosofia,leg.txt,-1
oratoria,lig.txt,46
oratoria,marc.txt,46
oratoria,milo.txt,52
oratoria,murena.txt,63
filosofia,nd1.txt,45
filosofia,nd2.txt,45
filosofia,nd3.txt,45
filosofia,nd.txt,45
filosofia,off1.txt,44
filosofia,off2.txt,44
filosofia,off3.txt,44
filosofia,off.txt,44
filosofia,optgen.txt,52
filosofia,oratore1.txt,55
filosofia,oratore2.txt,55
filosofia,oratore3.txt,55
filosofia,oratore.txt,55
filosofia,orator.txt,46
filosofia,paradoxa.txt,46
filosofia,partitione.txt,54
oratoria,phil10.txt,44
oratoria,phil11.txt,44
oratoria,phil12.txt,44
oratoria,phil13.txt,44
oratoria,phil14.txt,44
oratoria,phil1.txt,44
oratoria,phil2.txt,44
oratoria,phil3.txt,44
oratoria,phil4.txt,44
oratoria,phil5.txt,44
oratoria,phil6.txt,44
oratoria,phil7.txt,44
oratoria,phil8.txt,44
oratoria,phil9.txt,44
oratoria,phil.txt,44
oratoria,piso.txt,55
oratoria,plancio.txt,54
oratoria,postreditum2.txt,57
oratoria,postreditum.txt,57
oratoria,prov.txt,56
oratoria,quinc.txt,81
oratoria,rabiriopost.txt,54
oratoria,rabirio.txt,63
filosofia,repub1.txt,51
filosofia,repub2.txt,51
filosofia,repub3.txt,51
filosofia,repub4.txt,51
filosofia,repub5.txt,51
filosofia,repub6.txt,51
filosofia,repub.txt,51
oratoria,rosccom.txt,77
oratoria,scauro.txt,54
filosofia,senectute.txt,44
oratoria,sestio.txt,56
oratoria,sex.rosc.txt,80
oratoria,sulla.txt,62
filosofia,topica.txt,44
filosofia,tusc1.txt,45
filosofia,tusc2.txt,45
filosofia,tusc3.txt,45
filosofia,tusc4.txt,45
filosofia,tusc5.txt,45
filosofia,tusc.txt,45
oratoria,vatin.txt,56
oratoria,ver1.txt,70
oratoria,verres.2.1.txt,70
oratoria,verres.2.2.txt,70
oratoria,verres.2.3.txt,70
oratoria,verres.2.4.txt,70
oratoria,verres.2.5.txt,70
oratoria,ver.txt,70
